timestamp,cluster_id,cluster_cpu_util_avg,cluster_cpu_util_std,cluster_cpu_util_max,cluster_cpu_util_min,sample_count,node_count,vmcategory_<lambda>,prev_node_count,node_count_change,node_failure,prev_cpu_avg,cpu_change_rate,issue_type,has_issue,hour,day_of_week,is_business_hours,cpu_avg_1h,cpu_max_1h,cpu_std_1h,node_count_change_1h
2023-01-01 00:00:00,cluster-0,29.21679602893176,10.142434462270618,46.41771116014076,9.310923250757844,20,20,Database,0.0,0.0,False,0.0,0.0,normal,0,0,6,0,29.21679602893176,29.21679602893176,10.142434462270618,0.0
2023-01-01 00:15:00,cluster-0,32.42771754647331,11.49165497053084,53.03423364221726,11.322247332537795,20,20,WebServer,20.0,0.0,False,29.21679602893176,3.21092151754155,normal,0,0,6,0,30.822256787702536,32.42771754647331,2.27046437891143,0.0
2023-01-01 00:30:00,cluster-0,31.739479432448547,10.684598459765196,59.95043304824506,13.854206583863512,20,20,Database,20.0,0.0,False,32.42771754647331,-0.6882381140247631,normal,0,0,6,0,31.12799766928454,32.42771754647331,1.6905433173877726,0.0
2023-01-01 00:45:00,cluster-0,34.9091115972826,10.952772376097249,61.370887467271544,19.472996977346213,20,20,Database,20.0,0.0,False,31.739479432448547,3.1696321648340557,normal,0,0,6,0,32.073276151284055,34.9091115972826,2.34083249566649,0.0
2023-01-01 01:00:00,cluster-0,37.504128487528014,11.397384441671798,60.675187534149735,22.40989358688431,20,20,WebServer,20.0,0.0,False,34.9091115972826,2.595016890245411,normal,0,1,6,0,34.14510926593312,37.504128487528014,2.620635985606771,0.0
2023-01-01 01:15:00,cluster-0,39.02661449203989,11.985740803107714,54.64669364848063,8.381959178134151,20,20,Database,20.0,0.0,False,37.504128487528014,1.522486004511876,normal,0,1,6,0,35.794833502324764,39.02661449203989,3.1935611072415755,0.0
2023-01-01 01:30:00,cluster-0,41.9067282331335,8.254946848912605,55.55221528269186,15.669512879947604,20,20,WebServer,20.0,0.0,False,39.02661449203989,2.8801137410936093,normal,0,1,6,0,38.336645702496,41.9067282331335,2.9247576060092397,0.0
2023-01-01 01:45:00,cluster-0,39.85123101747744,14.778574818903955,72.37529799784107,14.685044424719614,20,20,WebServer,20.0,0.0,False,41.9067282331335,-2.055497215656061,normal,0,1,6,0,39.57217555754471,41.9067282331335,1.835071633916634,0.0
2023-01-01 02:00:00,cluster-0,44.80346603153744,13.675972315610013,86.54423144463735,21.12755764457235,20,20,Worker,20.0,0.0,False,39.85123101747744,4.952235014060001,normal,0,2,6,0,41.39700994354706,44.80346603153744,2.5737108681792797,0.0
2023-01-01 02:15:00,cluster-0,43.55457002459009,13.635269643736933,64.54341476595157,8.128068410846415,20,20,Database,20.0,0.0,False,44.80346603153744,-1.2488960069473478,normal,0,2,6,0,42.528998826684614,44.80346603153744,2.143413047730875,0.0
